ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3.397,0.08,-0.04,0.92,-1.03,2.12,0.01
3.417,0.08,-0.04,0.92,-1.02,2.31,-0.02
3.437,0.08,-0.03,0.92,-0.99,2.23,-0.05
3.457,0.08,-0.03,0.92,-1.08,2.25,-0.02
3.477,0.08,-0.04,0.92,-1,2.27,-0.07
3.497,0.08,-0.04,0.92,-0.99,2.18,0.03
3.517,0.08,-0.04,0.92,-1.04,2.19,-0.01
3.537,0.08,-0.03,0.92,-1.11,2.18,0.03
3.557,0.08,-0.04,0.92,-0.97,2.11,-0.06
3.577,0.08,-0.04,0.92,-1.05,2.18,0
3.597,0.08,-0.04,0.92,-1.03,2.23,-0.04
3.617,0.08,-0.04,0.92,-1.03,2.24,-0.02
3.637,0.08,-0.03,0.92,-1.06,2.29,-0.02
3.657,0.08,-0.04,0.92,-1.05,2.23,-0.02
3.677,0.08,-0.03,0.92,-1,2.25,-0.02
3.697,0.08,-0.03,0.91,-0.98,2.25,-0.02
3.717,0.08,-0.03,0.92,-1.02,2.35,-0.02
3.737,0.08,-0.03,0.92,-1.02,2.25,-0.01
3.757,0.08,-0.03,0.92,-1.02,2.31,0.05
3.777,0.08,-0.03,0.92,-1.02,2.17,-0.02
3.798,0.08,-0.04,0.92,-1,2.25,-0.06
3.817,0.08,-0.04,0.92,-1,2.31,-0.02
3.837,0.08,-0.03,0.92,-1.05,2.23,-0.05
3.857,0.08,-0.04,0.92,-1.05,2.23,0.03
3.877,0.08,-0.04,0.92,-1.05,2.24,-0.02
3.897,0.08,-0.03,0.92,-1.02,2.21,0.03
3.917,0.08,-0.03,0.92,-1.03,2.24,0.05
3.937,0.08,-0.03,0.92,-1.04,2.24,-0.03
3.957,0.08,-0.04,0.92,-1.05,2.15,0.02
3.977,0.08,-0.03,0.92,-1.05,2.28,-0.03
3.997,0.08,-0.04,0.92,-1.07,2.14,0.01
4.017,0.08,-0.03,0.92,-0.99,2.13,-0.02
4.037,0.08,-0.03,0.92,-1.03,2.24,0.02
4.057,0.08,-0.04,0.92,-1.02,2.25,0.05
4.077,0.08,-0.03,0.92,-0.97,2.24,0.03
4.097,0.08,-0.03,0.92,-0.92,2.22,-0.02
4.117,0.08,-0.03,0.92,-0.97,2.29,-0.03
4.137,0.08,-0.03,0.92,-0.97,2.21,-0.01
4.157,0.08,-0.03,0.92,-1.04,2.21,0.02
4.177,0.08,-0.03,0.92,-1,2.24,0.01
4.197,0.08,-0.04,0.92,-1.03,2.24,0.02
4.217,0.08,-0.03,0.92,-1.02,2.29,-0.01
4.237,0.08,-0.03,0.92,-1.03,2.3,0.01
4.257,0.08,-0.03,0.92,-0.96,2.21,-0.02
4.277,0.08,-0.04,0.92,-1.05,2.24,-0.06
4.297,0.08,-0.04,0.93,-1.03,2.27,-0.02
4.317,0.08,-0.03,0.92,-1.09,2.22,-0.04
4.337,0.08,-0.03,0.92,-1.1,2.32,0.01
4.357,0.08,-0.03,0.92,-1.05,2.22,0.03
4.377,0.08,-0.04,0.92,-1,2.22,-0.03
4.397,0.08,-0.04,0.92,-1.1,2.21,-0.05
4.417,0.08,-0.03,0.92,-1.11,2.18,-0.03
4.438,0.08,-0.03,0.92,-1.04,2.16,-0.05
4.457,0.08,-0.04,0.92,-0.94,2.28,-0.08
4.477,0.08,-0.04,0.92,-1,2.2,-0.1
4.497,0.08,-0.04,0.92,-1.04,2.16,0.03
4.517,0.08,-0.04,0.92,-1.06,2.15,-0.12
4.537,0.08,-0.03,0.92,-1.05,2.21,-0.04
4.557,0.08,-0.03,0.92,-1.06,2.24,-0.02
4.577,0.08,-0.03,0.92,-1.02,2.18,-0.08
4.597,0.08,-0.04,0.92,-1.08,2.2,-0.21
4.617,0.1,0.01,0.91,-0.91,1.95,-16.26
4.637,0.08,-0.03,0.92,-1,1.95,-1.93
4.657,0.08,-0.03,0.92,-0.73,1.93,-3.08
4.677,0.08,-0.04,0.92,-1.07,2.33,-0.27
4.697,0.08,-0.03,0.92,-1.09,2.32,0
4.717,0.08,-0.03,0.92,-1.03,2.17,0.01
4.737,0.08,-0.03,0.92,-0.98,2.23,-0.11
4.757,0.08,-0.04,0.92,-1.02,2.28,-0.03
