ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
10.397,0.08,-0.03,0.92,-1.02,2.27,0.05
10.417,0.08,-0.03,0.92,-1.02,2.25,0.05
10.437,0.08,-0.03,0.92,-1,2.24,0.07
10.457,0.08,-0.03,0.92,-1.03,2.2,0.05
10.477,0.08,-0.03,0.92,-0.98,2.34,-0.07
10.497,0.08,-0.04,0.92,-0.98,2.16,0.01
10.517,0.08,-0.03,0.91,-1.04,2.2,-0.02
10.537,0.08,-0.03,0.92,-1.01,2.2,-0.01
10.557,0.08,-0.03,0.92,-1.08,2.27,0.08
10.577,0.08,-0.03,0.92,-1.04,2.29,0.05
10.597,0.08,-0.03,0.92,-1.02,2.24,0.03
10.617,0.08,-0.04,0.92,-1.02,2.14,0.08
10.637,0.08,-0.03,0.92,-1,2.26,0.05
10.657,0.08,-0.03,0.92,-0.99,2.15,-0.02
10.677,0.08,-0.04,0.92,-1.08,2.14,-0.05
10.697,0.08,-0.04,0.92,-0.95,2.23,-0.05
10.717,0.08,-0.03,0.92,-1.02,2.27,0
10.737,0.08,-0.04,0.92,-1.01,2.21,0.03
10.757,0.08,-0.04,0.92,-1.02,2.18,-0.02
10.777,0.08,-0.04,0.92,-1.05,2.26,0.04
10.797,0.08,-0.04,0.91,-1.02,2.24,0
10.817,0.08,-0.03,0.92,-0.97,2.21,0.05
10.838,0.08,-0.04,0.92,-1.03,2.16,-0.04
10.857,0.08,-0.03,0.92,-1.03,2.18,-0.02
10.877,0.08,-0.03,0.91,-1.01,2.2,0.01
10.897,0.08,-0.03,0.92,-0.95,2.3,-0.01
10.917,0.08,-0.03,0.92,-1.03,2.27,0.07
10.937,0.08,-0.03,0.92,-0.98,2.27,-0.03
10.957,0.08,-0.03,0.92,-1.03,2.15,-0.04
10.977,0.08,-0.03,0.92,-1.08,2.21,0.01
10.997,0.08,-0.03,0.92,-1.02,2.2,0.04
11.017,0.08,-0.04,0.92,-1.03,2.24,0.01
11.037,0.08,-0.03,0.92,-1.02,2.2,0.02
11.057,0.08,-0.03,0.92,-1.02,2.22,-0.05
11.077,0.08,-0.04,0.92,-0.98,2.29,-0.02
11.097,0.08,-0.03,0.92,-0.99,2.2,-0.01
11.117,0.08,-0.03,0.92,-1.09,2.15,0
11.137,0.08,-0.03,0.92,-1.02,2.17,-0.01
11.157,0.08,-0.03,0.92,-1.07,2.2,-0.08
11.177,0.08,-0.03,0.92,-1.03,2.15,0
11.197,0.08,-0.04,0.92,-1.04,2.18,0.02
11.217,0.08,-0.04,0.92,-1.02,2.06,-0.03
11.237,0.08,-0.03,0.92,-1.08,2.14,0.02
11.257,0.08,-0.04,0.92,-1.12,2.15,-0.02
11.277,0.08,-0.03,0.92,-1,2.24,-0.02
11.297,0.08,-0.04,0.92,-1.02,2.34,0.05
11.317,0.08,-0.04,0.92,-1.02,2.33,-0.03
11.337,0.08,-0.04,0.92,-1.02,2.31,-0.01
11.357,0.08,-0.04,0.92,-1.06,2.15,0.01
11.377,0.08,-0.04,0.92,-1.01,2.18,0.05
11.397,0.08,-0.04,0.92,-1.07,2.11,0.04
11.417,0.08,-0.04,0.92,-1.14,2.14,-0.05
11.437,0.08,-0.04,0.92,-1.02,2.18,0.02
11.457,0.08,-0.04,0.92,-1.01,2.13,0.05
11.478,0.08,-0.04,0.92,-1.07,2.02,0.03
11.497,0.08,-0.03,0.92,-0.98,2.08,-0.05
11.517,0.08,-0.04,0.92,-1.07,2.15,-0.06
11.537,0.08,-0.03,0.92,-1.04,2.27,-0.03
11.557,0.08,-0.03,0.92,-1.04,2.3,0
11.577,0.08,-0.04,0.92,-1.02,2.31,0.02
11.597,0.08,-0.04,0.92,-1.05,2.36,0.07
11.617,0.08,-0.03,0.92,-0.99,2.21,0.03
11.637,0.08,-0.04,0.92,-1.05,2.28,-0.04
11.657,0.08,-0.03,0.92,-1.04,2.24,0.01
11.677,0.08,-0.04,0.92,-1.01,2.25,0
11.697,0.08,-0.03,0.92,-1.05,2.21,-0.02
11.717,0.08,-0.03,0.92,-0.98,2.2,0.02
11.737,0.08,-0.03,0.92,-1.04,2.3,0.01
11.757,0.08,-0.03,0.92,-1.06,2.28,-0.03
11.777,0.08,-0.03,0.92,-1.01,2.33,-0.01
11.797,0.08,-0.04,0.92,-1.05,2.2,0.07
11.817,0.08,-0.03,0.92,-1.03,2.21,0.03
11.837,0.08,-0.04,0.92,-1.02,2.31,0
11.857,0.08,-0.04,0.92,-1,2.24,-0.03
11.877,0.08,-0.04,0.92,-1.05,2.22,-0.02
11.897,0.08,-0.03,0.92,-0.95,2.25,0.05
11.917,0.08,-0.03,0.92,-1.01,2.2,0.05
11.937,0.08,-0.03,0.92,-1.04,2.15,0.02
11.957,0.08,-0.04,0.92,-1.05,2.22,0.03
11.977,0.08,-0.03,0.92,-1.01,2.25,-0.03
11.997,0.08,-0.04,0.92,-1,2.17,0.02
12.017,0.08,-0.04,0.92,-1.04,2.18,0.03
12.037,0.08,-0.04,0.92,-1.06,2.15,-0.02
12.057,0.08,-0.04,0.92,-1.02,2.27,0
12.077,0.08,-0.04,0.92,-1.04,2.2,0.01
12.097,0.08,-0.03,0.92,-1.08,2.18,-0.03
12.118,0.08,-0.04,0.92,-1.02,2.17,-0.01
12.137,0.08,-0.04,0.92,-1.05,2.16,0.01
12.157,0.08,-0.04,0.92,-1.08,2.19,0.03
12.177,0.08,-0.03,0.92,-1.05,2.25,0.05
12.197,0.08,-0.03,0.92,-0.96,2.22,0.02
12.217,0.08,-0.04,0.92,-1.06,2.15,-0.01
12.237,0.08,-0.04,0.92,-1.07,2.21,0.02
12.257,0.08,-0.04,0.92,-1.02,2.19,0.02
12.277,0.08,-0.03,0.92,-0.96,2.21,0
12.297,0.08,-0.03,0.92,-1.01,2.2,-0.01
12.317,0.08,-0.03,0.92,-1.01,2.18,0.04
12.337,0.08,-0.04,0.92,-1.09,2.22,0.02
12.357,0.08,-0.03,0.92,-1.06,2.31,-0.02
12.377,0.08,-0.03,0.92,-0.95,2.26,-0.02
12.397,0.08,-0.03,0.91,-0.92,2.24,-0.03
12.417,0.08,-0.04,0.92,-0.98,2.29,0.04
12.437,0.08,-0.04,0.92,-0.95,2.3,-0.04
12.457,0.08,-0.04,0.92,-1.01,2.25,0.01
12.477,0.08,-0.03,0.92,-1.02,2.2,-0.02
12.497,0.08,-0.03,0.92,-1.03,2.14,-0.02
12.517,0.08,-0.04,0.92,-1.01,2.18,0
12.537,0.08,-0.04,0.91,-1.05,2.17,0.02
12.557,0.08,-0.03,0.92,-1.06,2.27,-0.08
12.577,0.08,-0.03,0.92,-1.05,2.1,0.03
12.597,0.08,-0.03,0.92,-1.01,2.23,0.03
12.617,0.08,-0.03,0.92,-1.02,2.14,-0.06
12.637,0.08,-0.04,0.92,-1.02,2.19,0.03
12.657,0.08,-0.04,0.92,-1,2.31,0.02
12.677,0.08,-0.03,0.92,-1.03,2.26,-0.03
12.697,0.08,-0.03,0.92,-1.01,2.18,0.03
12.717,0.08,-0.04,0.91,-1.07,2.24,-0.08
12.737,0.08,-0.03,0.92,-1.02,2.24,0.05
12.758,0.08,-0.03,0.92,-1,2.25,0.02
12.777,0.08,-0.04,0.92,-0.98,2.41,-0.02
12.797,0.08,-0.04,0.92,-0.99,2.39,-0.05
12.817,0.08,-0.04,0.92,-1.03,2.39,-0.05
12.837,0.08,-0.04,0.92,-0.98,2.37,-0.02
12.857,0.08,-0.03,0.91,-0.99,2.3,0
12.877,0.08,-0.04,0.92,-0.99,2.24,0.01
12.897,0.08,-0.04,0.92,-1.03,2.21,0.08
12.917,0.08,-0.04,0.92,-1,2.11,0.05
12.937,0.08,-0.03,0.92,-1,2.15,-0.01
12.957,0.08,-0.03,0.92,-1.05,2.12,-0.06
12.977,0.08,-0.04,0.92,-1.04,2.18,0.02
12.997,0.08,-0.03,0.92,-0.98,2.26,0.02
13.017,0.08,-0.03,0.92,-1.06,2.24,-0.01
13.037,0.08,-0.04,0.92,-1.05,2.23,0.02
13.057,0.08,-0.04,0.92,-1.05,2.11,0.04
13.077,0.08,-0.03,0.92,-1.06,2.18,0.08
13.097,0.08,-0.03,0.92,-1.02,2.23,0.02
13.117,0.08,-0.04,0.92,-1.07,2.25,0.07
13.137,0.08,-0.03,0.92,-1.05,2.34,-0.01
13.157,0.08,-0.04,0.92,-1.02,2.2,0
13.177,0.08,-0.03,0.92,-1.03,2.19,0.02
13.197,0.08,-0.03,0.91,-0.98,2.27,-0.01
13.217,0.08,-0.04,0.92,-0.98,2.15,0.01
13.237,0.08,-0.03,0.91,-1.05,2.15,0.02
13.257,0.08,-0.04,0.92,-1.01,2.27,-0.03
13.277,0.08,-0.04,0.91,-0.98,2.38,-0.01
13.297,0.08,-0.04,0.92,-1.01,2.31,0.03
13.317,0.08,-0.03,0.92,-1.06,2.34,-0.04
13.337,0.08,-0.04,0.92,-1.01,2.31,-0.01
13.357,0.08,-0.04,0.92,-1.07,2.3,0.01
13.377,0.08,-0.04,0.92,-1.02,2.27,-0.03
13.398,0.08,-0.03,0.92,-1.13,2.37,0.01
13.417,0.08,-0.04,0.92,-1.02,2.21,-0.02
13.437,0.08,-0.03,0.92,-1.11,2.2,0.05
13.457,0.08,-0.03,0.92,-1.05,2.16,-0.04
13.477,0.08,-0.03,0.92,-1.05,2.1,0
13.497,0.08,-0.04,0.92,-1.07,2.12,0.02
13.517,0.08,-0.04,0.92,-1.05,2.13,0.01
13.537,0.08,-0.04,0.92,-1.07,2.21,0.02
13.557,0.08,-0.04,0.92,-1.02,2.23,0.02
13.577,0.08,-0.04,0.92,-1.08,2.22,-0.01
13.597,0.08,-0.04,0.92,-1.05,2.28,0.02
13.617,0.08,-0.03,0.92,-1.04,2.05,0
13.637,0.08,-0.04,0.92,-1.13,2.24,-0.09
13.657,0.08,-0.04,0.92,-1.06,2.18,-0.11
13.677,0.08,-0.03,0.91,-1,2.27,-0.04
13.697,0.08,-0.04,0.92,-0.94,2.26,0
13.717,0.08,-0.03,0.91,-1.08,2.27,0.05
13.737,0.08,-0.04,0.92,-1.04,2.39,0.02
13.757,0.08,-0.03,0.92,-1.03,2.32,-0.02
13.777,0.08,-0.03,0.92,-1.04,2.33,-0.05
13.797,0.08,-0.03,0.92,-1.05,2.27,-0.02
13.817,0.08,-0.04,0.92,-0.98,2.34,0.04
13.837,0.08,-0.04,0.92,-1.02,2.21,0.02
13.857,0.08,-0.04,0.92,-1.03,2.21,-0.02
13.877,0.08,-0.04,0.92,-1,2.23,-0.01
13.897,0.08,-0.04,0.92,-1,2.19,0.01
13.917,0.08,-0.04,0.92,-1.05,2.18,-0.07
13.937,0.08,-0.04,0.92,-1.01,2.29,-0.04
13.957,0.08,-0.03,0.92,-1.04,2.24,-0.01
13.977,0.08,-0.03,0.92,-1.02,2.24,-0.02
13.997,0.08,-0.04,0.92,-1,2.21,0.04
14.017,0.08,-0.03,0.92,-0.98,2.22,0.02
14.038,0.08,-0.04,0.92,-1.01,2.26,0
14.057,0.08,-0.03,0.92,-1.05,2.24,-0.06
14.077,0.08,-0.03,0.92,-0.98,2.25,-0.02
14.097,0.08,-0.04,0.92,-1.02,2.2,0.05
14.117,0.08,-0.03,0.92,-1,2.18,0
14.137,0.08,-0.03,0.92,-1.04,2.25,-0.05
14.157,0.08,-0.04,0.92,-1.02,2.25,0.04
14.177,0.08,-0.04,0.92,-1.05,2.28,-0.02
14.197,0.08,-0.04,0.92,-1.06,2.18,0.08
14.217,0.08,-0.03,0.92,-1.05,2.15,-0.02
14.237,0.08,-0.03,0.92,-0.95,2.24,0.03
14.257,0.08,-0.04,0.92,-1,2.2,0.02
14.277,0.08,-0.04,0.92,-0.97,2.32,0.01
14.297,0.08,-0.04,0.92,-1,2.24,0.04
14.317,0.08,-0.04,0.92,-1.02,2.19,-0.05
14.337,0.08,-0.04,0.92,-1.05,2.21,-0.01
14.357,0.08,-0.04,0.92,-1.05,2.2,-0.01
14.377,0.08,-0.03,0.92,-1.02,2.31,0.01
14.397,0.08,-0.03,0.92,-1.04,2.12,0.02
14.417,0.08,-0.04,0.91,-1.08,2.18,0.01
14.437,0.08,-0.03,0.92,-0.98,2.22,0.05
14.457,0.08,-0.04,0.92,-0.98,2.2,-0.01
14.477,0.08,-0.04,0.92,-1.05,2.19,0.07
14.497,0.08,-0.03,0.92,-1.05,2.15,-0.02
14.517,0.08,-0.03,0.92,-0.98,2.24,0
14.537,0.08,-0.03,0.92,-1.04,2.23,0.02
14.557,0.08,-0.03,0.92,-1.01,2.23,-0.01
14.577,0.08,-0.04,0.92,-1.01,2.23,-0.01
14.597,0.08,-0.04,0.92,-1.04,2.22,0
14.617,0.08,-0.03,0.92,-1.05,2.31,-0.02
14.637,0.08,-0.04,0.92,-1,2.18,-0.01
14.657,0.08,-0.03,0.92,-1.03,2.32,0.02
14.678,0.08,-0.03,0.92,-1.02,2.22,0.01
14.697,0.08,-0.03,0.92,-1.01,2.3,-0.03
14.717,0.08,-0.04,0.92,-0.98,2.19,0.08
14.737,0.08,-0.03,0.92,-0.98,2.21,0.01
14.757,0.08,-0.03,0.92,-1.08,2.25,0.02
14.777,0.08,-0.04,0.92,-1.04,2.2,-0.02
14.797,0.08,-0.03,0.92,-1.07,2.21,0.02
14.817,0.08,-0.03,0.92,-0.99,2.29,-0.02
14.837,0.08,-0.03,0.92,-1.08,2.24,-0.03
14.857,0.08,-0.04,0.92,-0.95,2.23,0
14.877,0.08,-0.04,0.92,-1.02,2.16,-0.02
14.897,0.08,-0.03,0.92,-1.18,2.15,-0.07
14.917,0.08,-0.04,0.92,-1.04,2.26,-0.03
14.937,0.08,-0.04,0.92,-1.08,2.27,-0.02
14.957,0.08,-0.04,0.92,-1.02,2.25,0.06
14.977,0.08,-0.04,0.92,-1.11,2.15,0.03
14.997,0.08,-0.03,0.92,-1.06,2.23,-0.04
15.017,0.08,-0.03,0.92,-1.06,2.16,0
15.037,0.08,-0.03,0.92,-1.02,2.24,-0.02
15.057,0.08,-0.03,0.92,-1.05,2.04,-0.01
15.077,0.08,-0.04,0.92,-1.08,2.27,0
15.097,0.08,-0.04,0.92,-1.08,2.14,0
15.117,0.08,-0.04,0.92,-1.08,2.21,-0.04
15.137,0.08,-0.03,0.92,-1.04,2.18,-0.03
15.157,0.08,-0.04,0.92,-1.06,2.22,0.04
15.177,0.08,-0.04,0.92,-1.06,2.24,-0.02
15.197,0.08,-0.04,0.92,-1.04,2.24,-0.01
15.217,0.08,-0.03,0.92,-1.01,2.29,-0.01
15.237,0.08,-0.04,0.91,-1.07,2.2,-0.01
15.257,0.08,-0.04,0.92,-1.03,2.12,-0.02
15.277,0.08,-0.03,0.92,-1.02,2.3,-0.06
15.297,0.08,-0.03,0.92,-0.98,2.24,-0.05
15.318,0.08,-0.03,0.92,-1.02,2.25,0
15.337,0.08,-0.03,0.92,-1.04,2.22,0.07
15.357,0.08,-0.03,0.92,-1,2.21,-0.05
15.377,0.08,-0.03,0.92,-1.05,2.22,-0.01
15.397,0.08,-0.04,0.92,-1.05,2.21,-0.04
15.417,0.08,-0.03,0.92,-0.98,2.34,-0.02
15.437,0.08,-0.03,0.92,-1.05,2.18,-0.05
15.457,0.08,-0.03,0.92,-1.04,2.26,0.02
15.477,0.08,-0.04,0.92,-1.03,2.3,-0.04
15.497,0.08,-0.04,0.92,-1.03,2.22,0.02
15.517,0.08,-0.04,0.92,-1.06,2.17,-0.04
15.537,0.08,-0.04,0.92,-0.98,2.2,-0.02
15.557,0.08,-0.03,0.92,-0.99,2.18,-0.05
15.577,0.08,-0.03,0.92,-1,2.24,-0.02
15.597,0.08,-0.03,0.92,-1.03,2.27,-0.05
15.617,0.08,-0.04,0.92,-1.02,2.34,-0.05
15.637,0.08,-0.04,0.92,-1.06,2.24,-0.02
15.657,0.08,-0.04,0.92,-1.04,2.26,0
15.677,0.08,-0.03,0.92,-1.06,2.25,-0.02
15.697,0.08,-0.04,0.92,-1.01,2.32,-0.03
15.717,0.08,-0.04,0.92,-1.06,2.25,0.04
15.737,0.08,-0.03,0.92,-1.05,2.17,-0.03
15.757,0.08,-0.04,0.92,-0.97,2.3,-0.01
15.777,0.08,-0.03,0.92,-1.24,2.33,0.22
15.797,0.08,-0.04,0.91,-1.03,2.22,0.02
15.817,0.08,-0.04,0.92,-1.08,2.24,0.03
15.837,0.08,-0.03,0.92,-1.02,2.31,0.01
15.857,0.08,-0.03,0.92,-1.02,2.16,-0.02
15.877,0.08,-0.04,0.92,-1.05,2.21,0
15.897,0.08,-0.03,0.92,-1.05,2.31,0.08
15.917,0.08,-0.04,0.92,-1,2.21,0.02
15.937,0.08,-0.04,0.92,-1.02,2.24,-0.02
15.958,0.08,-0.03,0.92,-1.1,2.25,0.02
15.977,0.08,-0.04,0.92,-1.02,2.19,0.01
15.997,0.08,-0.03,0.92,-1.02,2.26,-0.03
16.017,0.08,-0.03,0.92,-1.01,2.21,-0.01
16.037,0.08,-0.03,0.92,-1.05,2.16,-0.01
16.057,0.08,-0.04,0.92,-1.08,2.25,0.02
16.077,0.08,-0.03,0.92,-1.04,2.23,0
16.097,0.08,-0.04,0.92,-1.03,2.31,-0.01
16.117,0.08,-0.03,0.92,-1.02,2.26,-0.02
16.137,0.08,-0.04,0.92,-1.04,2.25,-0.07
16.157,0.08,-0.04,0.92,-0.96,2.25,0.03
16.177,0.08,-0.03,0.92,-0.95,2.24,-0.02
16.197,0.08,-0.04,0.92,-1.02,2.27,0.05
16.217,0.08,-0.04,0.92,-1.05,2.17,0.02
16.237,0.08,-0.03,0.92,-1.02,2.27,0.02
16.257,0.08,-0.03,0.92,-1.03,2.25,-0.02
16.277,0.08,-0.03,0.92,-1.07,2.28,-0.05
16.297,0.08,-0.04,0.91,-1.1,2.23,0.02
16.317,0.08,-0.04,0.92,-0.98,2.23,0.03
16.337,0.08,-0.04,0.92,-1.05,2.16,0.02
16.357,0.08,-0.03,0.92,-1.01,2.26,0.01
16.377,0.08,-0.03,0.91,-0.99,2.3,-0.02
16.397,0.08,-0.03,0.92,-1.04,2.23,0.05
16.417,0.08,-0.03,0.92,-1.03,2.19,-0.04
16.437,0.08,-0.04,0.91,-1.07,2.21,-0.02
16.457,0.08,-0.03,0.92,-1.05,2.32,0.02
16.477,0.08,-0.04,0.92,-1.03,2.2,0.1
16.497,0.08,-0.04,0.92,-1.03,2.15,0.01
16.517,0.08,-0.03,0.92,-1.03,2.3,-0.03
16.537,0.08,-0.04,0.92,-1.05,2.27,-0.04
16.557,0.08,-0.03,0.92,-0.98,2.35,-0.06
16.577,0.08,-0.03,0.91,-1.04,2.29,-0.03
16.598,0.08,-0.04,0.92,-1.05,2.27,0.03
16.617,0.08,-0.03,0.92,-1.02,2.24,0.04
16.637,0.08,-0.03,0.92,-1.02,2.18,-0.04
16.657,0.08,-0.04,0.92,-1.13,2.21,-0.02
16.677,0.08,-0.03,0.92,-1.05,2.17,0.02
16.697,0.08,-0.04,0.92,-1.07,2.2,0
16.717,0.08,-0.04,0.92,-1.01,2.19,0
16.737,0.08,-0.03,0.92,-1.02,2.28,0.03
16.757,0.08,-0.03,0.92,-1.05,2.22,0.01
16.777,0.08,-0.03,0.92,-1.05,2.24,-0.04
16.797,0.08,-0.03,0.92,-1.08,2.15,-0.05
16.817,0.08,-0.04,0.92,-1.04,2.31,-0.02
16.837,0.08,-0.03,0.92,-1.01,2.26,0
16.857,0.08,-0.03,0.92,-1.06,2.28,-0.01
16.877,0.08,-0.03,0.92,-0.98,2.24,0.01
16.897,0.08,-0.04,0.92,-1.02,2.23,-0.03
16.917,0.08,-0.04,0.92,-1.01,2.21,-0.01
16.937,0.08,-0.04,0.92,-1.01,2.22,0.02
16.957,0.08,-0.03,0.92,-1.05,2.23,0.06
16.977,0.08,-0.03,0.92,-1.04,2.19,0.02
16.997,0.08,-0.04,0.92,-1.09,2.21,0.04
17.017,0.08,-0.04,0.92,-1.02,2.18,0.02
17.037,0.08,-0.03,0.92,-1.05,2.19,0.03
17.057,0.08,-0.04,0.92,-1.03,2.18,0.01
17.077,0.08,-0.04,0.92,-1.03,2.2,-0.08
17.097,0.08,-0.03,0.92,-1.09,2.24,0.02
17.117,0.08,-0.04,0.92,-1.08,2.21,-0.02
17.137,0.08,-0.03,0.92,-1.05,2.29,0
17.157,0.08,-0.04,0.92,-1.02,2.26,0.02
17.177,0.08,-0.04,0.92,-1.04,2.18,-0.05
17.197,0.08,-0.03,0.92,-1.04,2.25,0.02
17.217,0.08,-0.03,0.92,-1.06,2.31,0.08
17.238,0.08,-0.04,0.92,-1.04,2.24,0
17.257,0.08,-0.03,0.92,-1.06,2.25,-0.01
17.277,0.08,-0.03,0.92,-1.03,2.21,-0.01
17.297,0.08,-0.04,0.92,-1.05,2.22,0.05
17.317,0.08,-0.03,0.92,-1.05,2.2,-0.03
17.337,0.08,-0.04,0.92,-1.05,2.21,-0.02
17.357,0.08,-0.03,0.92,-1.05,2.32,-0.01
17.377,0.08,-0.03,0.92,-0.96,2.27,-0.02
17.397,0.08,-0.04,0.92,-1.11,2.23,-0.05
17.417,0.08,-0.03,0.92,-1.04,2.21,-0.07
17.437,0.08,-0.04,0.92,-0.98,2.21,0.03
17.457,0.08,-0.03,0.92,-1.08,2.22,0.01
17.477,0.08,-0.04,0.92,-0.93,2.32,-0.03
17.497,0.08,-0.03,0.91,-1.03,2.24,-0.01
17.517,0.08,-0.04,0.92,-0.91,2.17,0.01
17.537,0.08,-0.03,0.92,-1.08,2.18,0.02
17.557,0.08,-0.03,0.92,-1.01,2.27,0
17.577,0.08,-0.04,0.92,-1.04,2.31,0.02
17.597,0.08,-0.03,0.92,-1.09,2.24,0.05
17.617,0.08,-0.03,0.92,-1.03,2.33,-0.05
17.637,0.08,-0.03,0.92,-1.02,2.22,0.02
17.657,0.08,-0.04,0.92,-1.02,2.14,-0.01
17.677,0.08,-0.03,0.92,-1.08,2.27,0.02
17.697,0.08,-0.03,0.92,-0.99,2.27,0.01
17.717,0.08,-0.03,0.92,-0.98,2.14,-0.05
17.737,0.08,-0.03,0.92,-1.02,2.21,0
17.757,0.08,-0.03,0.92,-1.08,2.21,0.05
17.777,0.08,-0.03,0.92,-1.05,2.21,0.02
17.797,0.08,-0.03,0.92,-1.12,2.19,-0.02
17.817,0.08,-0.03,0.92,-1.04,2.3,-0.02
17.837,0.08,-0.04,0.92,-1.02,2.31,-0.02
17.857,0.08,-0.04,0.92,-1.03,2.24,0.05
17.878,0.08,-0.04,0.92,-1.07,2.29,0.05
17.897,0.08,-0.04,0.92,-1.04,2.22,-0.01
17.917,0.08,-0.04,0.92,-1.03,2.25,0.02
17.937,0.08,-0.03,0.92,-1.05,2.25,-0.02
17.957,0.08,-0.03,0.92,-1.02,2.21,0.02
17.977,0.08,-0.04,0.92,-1.05,2.24,0.04
17.997,0.08,-0.03,0.92,-1.05,2.21,0.04
18.017,0.08,-0.03,0.92,-1.02,2.23,-0.04
18.037,0.08,-0.04,0.92,-1.01,2.25,-0.05
18.057,0.08,-0.03,0.92,-1.02,2.25,-0.02
18.077,0.08,-0.04,0.92,-0.98,2.19,0.04
18.097,0.08,-0.04,0.92,-0.97,2.21,-0.01
18.117,0.08,-0.04,0.92,-0.93,2.21,0
18.137,0.08,-0.04,0.92,-1.01,2.24,-0.05
18.157,0.08,-0.03,0.92,-1.03,2.3,-0.02
18.177,0.08,-0.04,0.92,-1.02,2.23,0.04
18.197,0.08,-0.03,0.92,-0.95,2.21,0.03
18.217,0.08,-0.03,0.92,-1.02,2.29,-0.04
18.237,0.08,-0.03,0.92,-0.99,2.31,0
18.257,0.08,-0.03,0.92,-1.05,2.27,-0.03
18.277,0.08,-0.04,0.92,-0.98,2.28,-0.03
18.297,0.08,-0.04,0.92,-1.04,2.2,0.04
18.317,0.08,-0.03,0.92,-0.99,2.24,0
18.337,0.08,-0.03,0.92,-1.04,2.21,-0.03
18.357,0.08,-0.04,0.92,-1.06,2.15,-0.04
18.377,0.08,-0.03,0.92,-0.92,2.23,0
18.397,0.08,-0.03,0.92,-1.02,2.25,0.03
18.417,0.08,-0.04,0.92,-1.04,2.24,-0.02
18.437,0.08,-0.04,0.92,-1.09,2.26,0.04
18.457,0.08,-0.04,0.92,-1.06,2.19,0.03
18.477,0.08,-0.03,0.92,-1.02,2.2,0.02
18.497,0.08,-0.03,0.91,-0.95,2.21,-0.02
18.518,0.08,-0.04,0.92,-1.01,2.14,-0.01
18.537,0.08,-0.04,0.92,-1.02,2.27,0
18.557,0.08,-0.04,0.92,-1.05,2.18,0.04
18.577,0.08,-0.04,0.92,-1.01,2.18,0.01
18.597,0.08,-0.03,0.92,-1.04,2.18,-0.02
18.617,0.08,-0.04,0.92,-1.05,2.21,0.03
18.637,0.08,-0.04,0.92,-1.01,2.24,-0.01
18.657,0.08,-0.04,0.92,-0.98,2.24,0.02
18.677,0.08,-0.03,0.92,-0.98,2.23,-0.04
18.697,0.08,-0.03,0.92,-1.02,2.21,-0.05
18.717,0.08,-0.04,0.92,-1.05,2.22,-0.06
18.737,0.08,-0.04,0.92,-1.08,2.27,0
18.757,0.08,-0.04,0.92,-1.05,2.27,0.05
18.777,0.08,-0.04,0.92,-1.02,2.24,-0.02
18.797,0.08,-0.03,0.92,-1.02,2.24,-0.01
18.817,0.08,-0.04,0.92,-0.99,2.21,0.05
18.837,0.08,-0.04,0.92,-1.07,2.2,0.02
18.857,0.08,-0.03,0.92,-0.98,2.21,-0.01
18.877,0.08,-0.03,0.92,-1.01,2.18,0.01
18.897,0.08,-0.04,0.92,-1,2.23,0.05
18.917,0.08,-0.04,0.92,-1.05,2.21,0.01
18.937,0.08,-0.03,0.92,-1.03,2.22,0.02
18.957,0.08,-0.04,0.92,-1.05,2.29,0.03
18.977,0.08,-0.03,0.92,-1.02,2.22,0.02
18.997,0.08,-0.04,0.92,-1.11,2.08,-0.08
19.017,0.08,-0.04,0.92,-0.99,2.3,0.01
19.037,0.08,-0.04,0.92,-1.05,2.31,-0.04
19.057,0.08,-0.04,0.92,-1.05,2.28,-0.03
19.077,0.08,-0.04,0.92,-1.07,2.24,0.02
19.097,0.08,-0.04,0.92,-0.99,2.24,-0.06
19.117,0.08,-0.03,0.92,-1.09,2.27,-0.01
19.137,0.08,-0.03,0.92,-1.08,2.21,-0.01
19.158,0.08,-0.03,0.92,-1,2.19,0.01
19.177,0.08,-0.03,0.92,-1.07,2.21,-0.05
19.197,0.08,-0.04,0.92,-0.98,2.18,-0.12
19.217,0.08,-0.04,0.92,-1.02,2.29,-0.05
19.237,0.08,-0.03,0.92,-1.02,2.24,-0.03
19.257,0.08,-0.03,0.92,-0.98,2.22,0.03
19.277,0.08,-0.04,0.92,-1.04,2.26,0.05
19.297,0.08,-0.04,0.92,-1.07,2.19,0.02
19.317,0.08,-0.03,0.92,-0.98,2.21,0.01
19.337,0.08,-0.04,0.92,-1.03,2.28,0.08
19.357,0.08,-0.03,0.92,-1.02,2.21,-0.03
19.377,0.08,-0.03,0.92,-1.02,2.26,0.01
19.397,0.08,-0.04,0.92,-1.07,2.18,0.02
19.417,0.08,-0.03,0.92,-1.02,2.26,-0.01
19.437,0.08,-0.04,0.92,-1.05,2.12,0.05
19.457,0.08,-0.03,0.92,-1,2.19,-0.02
19.477,0.08,-0.04,0.92,-1.01,2.22,0.03
19.497,0.08,-0.04,0.92,-0.98,2.1,-0.01
19.517,0.08,-0.03,0.92,-0.98,2.25,-0.05
19.537,0.08,-0.03,0.92,-1.03,2.15,-0.02
19.557,0.08,-0.04,0.92,-1.08,2.24,-0.07
19.577,0.08,-0.03,0.92,-1.05,2.19,-0.02
19.597,0.08,-0.03,0.92,-1.05,2.24,-0.02
19.617,0.08,-0.03,0.92,-0.97,2.25,-0.07
